#ZVView-data-copy:   6-Oct-2017 16:33:38
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,INL)XE-128
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  340
#data...
#            X            Y
#          MeV        barns
            10     0.785862
            11     0.572952
            12     0.441908
            13     0.395562
            14     0.350249
          14.5     0.338041
            15     0.330375
            16     0.312363
            17     0.301856
            18     0.296297
            19     0.276351
            20     0.257939
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-132(N,INL)XE-132
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  71
#data...
#            X            Y
#          MeV        barns
       0.67281            0
           0.7       0.2086
           0.8      0.44523
           0.9      0.56768
             1      0.65508
          1.15      0.75873
        1.3078      0.84904
        1.4513      1.06051
           1.6      1.20342
        1.8175      1.33982
         1.978      1.45971
        2.0009      1.47637
         2.056      1.53358
        2.1264      1.58773
         2.128      1.59012
        2.1837      1.62992
        2.2039      1.64418
         2.231      1.67168
         2.321      1.73727
        2.3686        1.767
        2.4132      1.79385
        2.4433      1.81243
         2.488      1.84204
           2.6      1.94363
        2.7456      2.09602
        2.8159      2.16477
             3      2.31215
          3.25      2.44441
           3.5      2.52511
             4      2.59784
           4.5      2.60434
             5      2.57409
           5.5      2.52852
             6      2.48506
           6.5      2.44488
        6.9521      2.42103
           7.2      2.40895
           7.5      2.40136
             8      2.38962
           8.5       2.3845
          8.75      2.38217
         9.003      2.37985
        9.1936      2.37269
        9.3441      2.35264
           9.5      2.31372
          9.75      2.21922
            10       2.1066
         10.25      1.97676
          10.5      1.84693
         10.75      1.72551
            11      1.61271
          11.5      1.40411
            12      1.23234
          12.5      1.09874
            13     0.991881
          13.5      0.90289
            14     0.828946
          14.5     0.762742
          14.6     0.751051
            15     0.708842
          15.5     0.662923
        15.673     0.648935
            16     0.622519
          16.5     0.586967
            17     0.554623
          17.5     0.524668
            18     0.496509
          18.5     0.470313
            19     0.445242
          19.5     0.421146
            20     0.397933
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-133(N,INL)XE-133
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  283
#data...
#            X            Y
#          MeV        barns
       0.23497            0
          0.25   0.00408851
      0.253595   0.00503202
      0.259085   0.00644728
      0.264694   0.00786255
      0.273111    0.0282427
      0.279598    0.0439123
      0.289619    0.0680531
           0.3    0.0929821
      0.309733     0.102877
      0.314403     0.107582
      0.323653     0.116588
      0.328225     0.120995
      0.336975     0.129128
      0.345957     0.137386
      0.354013     0.144521
      0.362256     0.151741
      0.369626     0.157944
      0.384303     0.170151
      0.390246     0.174867
      0.408386     0.189083
      0.410438     0.190673
      0.429582     0.204871
        0.4312     0.206056
      0.453514     0.221649
      0.464327     0.229097
      0.483998     0.241908
           0.5     0.252206
      0.533922     0.268362
      0.581775     0.351336
      0.616838      0.41182
      0.643887     0.458277
      0.661714      0.48878
      0.685362     0.529164
           0.7     0.570879
      0.712047     0.588604
      0.730507     0.615348
      0.749445     0.642285
       0.77431     0.676371
           0.8     0.711024
      0.819743     0.731984
      0.839973     0.753234
      0.846397     0.759847
      0.869931     0.783805
      0.881943      0.79594
           0.9     0.830106
      0.909162     0.841217
      0.918418     0.852289
      0.938167     0.879818
      0.958341     0.907688
       0.96859     0.921768
             1     0.964463
        1.0297     0.991824
       1.04489      1.00564
       1.06029      1.01953
        1.1039      1.05818
       1.13778       1.0879
        1.1493      1.09789
        1.1727      1.11802
       1.19657       1.1383
       1.20869       1.1486
       1.24578      1.17991
       1.24789      1.18316
          1.25      1.18643
       1.26427      1.19711
       1.28324       1.2112
       1.30805      1.22944
       1.34723      1.26155
       1.36055      1.27241
       1.39551      1.30242
       1.41546      1.32132
       1.43614      1.33671
       1.45184      1.34834
       1.45712      1.35221
       1.46772      1.35994
           1.5      1.38333
       1.52491      1.39762
       1.55024      1.41205
       1.56307      1.41925
       1.57599      1.42644
       1.60217      1.44093
       1.66252      1.47405
       1.70024      1.49428
       1.73325      1.51185
          1.75      1.52071
       1.76467      1.52865
        1.7925      1.54346
       1.82813      1.56196
        1.8322      1.56402
       1.85849      1.57722
       1.87083      1.58322
       1.90784      1.60191
       1.92628       1.6109
       1.93434       1.6148
       1.95338      1.62401
             2      1.64582
       2.05133      1.66826
       2.10065      1.68828
       2.10398      1.68952
       2.15115      1.70721
        2.1705      1.71536
       2.19939      1.72643
       2.21336      1.73186
       2.23664      1.74093
       2.28641      1.75841
       2.29912      1.76338
       2.32026      1.77175
       2.37687      1.79153
        2.3882      1.79553
       2.40077          1.8
       2.42989      1.81044
        2.4367      1.81257
       2.44707      1.81604
       2.50088      1.83463
       2.51933      1.84106
       2.52562      1.84328
       2.56674      1.85604
       2.58297      1.86138
       2.61728      1.87282
       2.62458      1.87528
       2.63175      1.87774
       2.63668      1.87945
       2.67667       1.8915
       2.68145      1.89295
       2.71378      1.90284
       2.74801      1.91392
       2.75293      1.91553
       2.76109      1.91824
       2.78368      1.92468
       2.80985      1.93222
        2.8533      1.94483
       2.87124      1.95029
       2.88982      1.95601
       2.91527      1.96389
       2.91568      1.96402
       2.91815       1.9648
       2.96263      1.97713
             3       1.9877
       3.15916      1.99396
       3.22371      1.99816
       3.29884       2.0003
       3.40237      2.00572
       3.45126      2.00648
       3.46167      2.00667
       3.58095      2.01105
       3.58905      2.01137
       3.63801      2.01395
       3.68765      2.01664
        3.6891      2.01672
       3.72532      2.01733
       3.72532      2.01733
       3.76337      2.01837
       3.82118         2.02
       3.84065      2.02071
       3.86022      2.02148
       3.87988      2.02229
       3.93948      2.02478
       3.95955      2.02575
       3.96459        2.026
             4       2.0278
       4.16364      2.01055
       4.30574      1.99654
        4.4697      1.98142
        4.4697      1.98142
       4.59675      1.97045
       4.64533      1.96644
       4.72871      1.95965
       4.73689      1.95892
       4.76901      1.95614
       4.86667      1.94778
       4.88314      1.94642
             5       1.9369
       5.11526       1.9271
       5.16652      1.92277
       5.21829      1.91845
       5.31014      1.91078
       5.32339      1.90969
       5.40361      1.90312
       5.47479      1.89729
       5.48503      1.89646
       5.54691      1.89148
       5.65687      1.88263
       5.70466      1.87885
        5.7771      1.87312
        5.8045      1.87096
       5.85046      1.86737
       5.92476      1.86158
       5.93411      1.86085
             6      1.85576
       6.22074      1.80914
       6.23574      1.80598
       6.40702      1.76989
        6.4186      1.76745
       6.48074      1.75437
       6.55038      1.74074
        6.6128      1.72854
       6.70754      1.71003
       6.74856      1.70202
       6.77949      1.69598
       6.85221      1.68179
       6.91516      1.66951
       6.92571      1.66746
       6.96276      1.66024
             7      1.65298
       7.22254      1.48331
       7.23762      1.47181
        7.3288      1.40231
       7.40952       1.3431
       7.42112      1.33458
       7.55292       1.2379
       7.56179       1.2314
       7.61523      1.19353
       7.70965      1.12661
       7.75047      1.09767
       7.85118      1.02631
       7.85348      1.02472
       7.87425      1.01041
       7.96312     0.949173
             8     0.923759
       8.23907     0.816303
       8.33055     0.775186
       8.42305     0.735001
       8.56372     0.673886
       8.61708     0.651399
       8.75193     0.594567
       8.85216     0.552326
        8.8751     0.542895
             9     0.491546
       9.24021       0.4415
       9.49465      0.39021
        9.6126     0.366432
       9.67213      0.35484
        9.8347     0.323181
       9.90171      0.31013
       9.95842     0.299303
            10     0.291363
        10.333     0.268616
       10.4664      0.25951
       10.6203     0.249472
       10.9496     0.227998
       10.9701     0.226662
       11.2032     0.212045
       11.3273     0.204265
        11.471     0.195573
       11.6572     0.184304
       11.7715     0.177389
       11.8273     0.174102
       11.9566     0.166502
            12     0.163951
        12.337     0.157097
       12.6264     0.151212
       12.8372     0.146925
       12.9566     0.144644
       13.2099     0.139805
       13.4868     0.134515
       13.6011     0.132332
        13.709     0.130359
        13.741     0.129773
       13.9023     0.126822
       13.9348     0.126228
            14     0.125035
        14.336     0.122758
       14.5697     0.121174
       14.8552     0.119239
            15     0.118257
        15.244     0.116425
       15.3365      0.11573
       15.5702     0.113974
       15.6174      0.11362
       15.8554     0.111833
       15.9035     0.111472
            16     0.110747
       16.4781     0.106875
       16.8461     0.103896
       16.9706     0.102888
       17.1274      0.10169
       17.2342     0.100875
       17.5039    0.0988162
       17.6677    0.0975653
       17.7502    0.0969355
            18    0.0950283
       18.9737    0.0843296
            20    0.0736309
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.b4: XE-134(N,INL)XE-134
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  70
#data...
#            X            Y
