#ZVView-data-copy:   6-Oct-2017 16:32:26
#=======================================
#
#name:   ENDF/B-VIII.b4: XE-128(N,EL)XE-128-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3348
#data...
#            X            Y
#          MeV        barns
   0.000369518      1.86723
   0.000369533      1.99483
   0.000369548      2.13921
   0.000369563      2.30195
   0.000369578      2.48477
   0.000369588       2.6187
   0.000369601      2.81343
   0.000369614      3.02794
   0.000369627      3.26374
   0.000369641      3.52244
   0.000369654      3.80573
   0.000369667      4.11538
    0.00036968      4.45328
   0.000369694      4.82136
   0.000369706      5.19572
   0.000369718       5.6001
   0.000369731      6.03642
   0.000369743      6.50655
   0.000369756      7.01242
   0.000369771      7.70766
   0.000369783      8.26121
   0.000369795       8.8517
    0.00036981      9.71531
   0.000369823      10.4505
   0.000369835      11.2353
   0.000369851      12.3041
   0.000369867      13.5244
   0.000369882      14.7107
   0.000369899      16.1319
   0.000369912      17.3506
   0.000369925      18.6451
    0.00036994      20.1956
   0.000369957      22.0397
   0.000369975      24.2221
   0.000369994      26.6829
    0.00037001      28.8589
   0.000370028      31.5457
    0.00037005      34.9586
   0.000370069      38.1981
   0.000370091      42.2701
   0.000370112      46.3368
   0.000370137      51.5152
   0.000370164      57.5946
   0.000370192       64.267
   0.000370224      72.4226
   0.000370255      81.1073
   0.000370287      90.2686
   0.000370331      103.516
   0.000370402      126.246
   0.000370478      150.404
    0.00037052      163.231
   0.000370558      174.367
   0.000370593      183.623
   0.000370625       191.21
   0.000370666      199.492
   0.000370699      205.163
   0.000370733      209.527
   0.000370766      212.433
   0.000370794      213.832
    0.00037082      214.269
   0.000370848      213.781
   0.000370875      212.344
   0.000370909      209.317
   0.000370939      205.584
   0.000370971      200.542
   0.000371011      192.791
   0.000371045      185.073
   0.000371088      174.542
   0.000371135       161.58
   0.000371241      130.817
   0.000371307      111.844
   0.000371351      100.005
   0.000371391      89.6623
   0.000371422      82.3759
   0.000371452      75.5281
   0.000371482      69.1384
   0.000371514      62.9994
   0.000371537      58.7272
   0.000371561      54.7368
   0.000371585      51.0232
   0.000371608      47.5787
   0.000371632      44.3941
   0.000371655       41.459
   0.000371679      38.7617
   0.000371703      36.2897
   0.000371726      34.0297
   0.000371751      31.8994
   0.000371775      29.9359
     0.0003718      28.1613
   0.000371825      26.5601
    0.00037185      25.1177
   0.000371875      23.8196
